Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Neuroprotective Role of THOP1 in Alzheimer's Disease	7.77E-01	2.68E-02	NaN	CTSG,PRKAR1B,PRTN3	
Semaphorin Signaling in Neurons	7.72E-01	3.39E-02	NaN	CFL1,LIMK2	
CDK5 Signaling	7.62E-01	2.63E-02	NaN	CAPN1,PRKAR1B,RALB	
Bladder Cancer Signaling	7.62E-01	2.63E-02	NaN	CCND1,E2F1,RALB	
Sphingosine-1-phosphate Signaling	7.4E-01	2.56E-02	NaN	CASP1,CASP4,CASP5	
Granzyme B Signaling	7.38E-01	6.25E-02	NaN	LMNB1	
Adenosine Nucleotides Degradation II	7.38E-01	6.25E-02	NaN	NT5C2	
IL-2 Signaling	7.38E-01	3.23E-02	NaN	RALB,SHC1	
Activation of IRF by Cytosolic Pattern Recognition Receptors	7.28E-01	3.17E-02	NaN	IFIT2,STAT1	
IL-17 Signaling	7.26E-01	2.23E-02	2.000	JAK2,RALB,TNFSF10,TNFSF13B	
Neuroinflammation Signaling Pathway	7.21E-01	1.95E-02	2.236	BACE1,CASP1,GRIN3A,JAK2,SOD2,STAT1	
Glutamate Receptor Signaling	7.17E-01	3.12E-02	NaN	GRIN3A,HOMER2	
TEC Kinase Signaling	7.12E-01	1.87E-02	NaN	GNA15,ITGA2B,ITGB5,JAK2,STAT1,STAT3,TNFSF10	
Synaptogenesis Signaling Pathway	7.12E-01	1.94E-02	1.633	CFL1,EPHA1,GRIN3A,PRKAR1B,RALB,SHC1	
Sperm Motility	7.08E-01	2.04E-02	NaN	EPHA1,GNA15,JAK2,PRKAR1B,PTK6	
RHOA Signaling	7.03E-01	2.46E-02	NaN	CFL1,EPHA1,LIMK2	
MicroRNA Biogenesis Signaling Pathway	7.01E-01	2.19E-02	0.000	ATM,PIWIL4,RALB,ST13	
LXR/RXR Activation	6.97E-01	2.44E-02	NaN	ALB,CLU,S100A8	
Breast Cancer Regulation by Stathmin1	6.97E-01	1.71E-02	0.632	CCND1,E2F1,LTB4R,P2RY14,PRKAR1B,RALB,RXFP2,SHC1,STAT3,TUBA1B	
ERBB4 Signaling	6.97E-01	3.03E-02	NaN	RALB,SHC1	
Remodeling of Epithelial Adherens Junctions	6.97E-01	3.03E-02	NaN	TUBA1B,ZYX	
Hepatic Cholestasis	6.9E-01	2.16E-02	NaN	PRKAR1B,TJP2,TNFSF10,TNFSF13B	
IL-17A Signaling in Airway Cells	6.86E-01	2.99E-02	NaN	JAK2,STAT3	
Agrin Interactions at Neuromuscular Junction	6.78E-01	2.94E-02	NaN	RALB,UTRN	
Purine Nucleotides Degradation II (Aerobic)	6.72E-01	5.26E-02	NaN	NT5C2	
Cardiac Hypertrophy Signaling	6.66E-01	1.97E-02	1.342	GNA15,MAP3K1,MAP3K13,PRKAR1B,RALB	
Atherosclerosis Signaling	6.64E-01	2.34E-02	NaN	ALB,CLU,S100A8	
Glioma Invasiveness Signaling	6.5E-01	2.82E-02	NaN	RALB,TIMP1	
Granzyme A Signaling	6.5E-01	2.82E-02	NaN	CASP1,LMNB1	
Adrenomedullin signaling pathway	6.48E-01	2.07E-02	2.000	GNA15,PRKAR1B,RALB,SHC1	
Gap Junction Signaling	6.44E-01	2.06E-02	NaN	PRKAR1B,RALB,TJP2,TUBA1B	
Ephrin B Signaling	6.4E-01	2.78E-02	NaN	CFL1,GNA15	
Netrin Signaling	6.4E-01	2.78E-02	NaN	ENAH,PRKAR1B	
P2Y Purigenic Receptor Signaling Pathway	6.36E-01	2.27E-02	NaN	ITGA2B,PRKAR1B,RALB	
The Visual Cycle	6.33E-01	4.76E-02	NaN	DHRS9	
Circadian Rhythm Signaling	6.27E-01	1.9E-02	NaN	CIRBP,GNA15,GRIN3A,PRKAR1B,RALB	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	6.23E-01	2.7E-02	NaN	GNA15,PRKAR1B	
IL-15 Signaling	6.18E-01	1.89E-02	2.000	IGHV3-53,JAK2,RALB,SHC1,STAT3	
Signaling by Rho Family GTPases	6.18E-01	1.89E-02	NaN	CFL1,GNA15,ITGA2B,ITGB5,LIMK2	
NAD Salvage Pathway II	6.14E-01	4.55E-02	NaN	NT5C2	
Macropinocytosis Signaling	6.07E-01	2.63E-02	NaN	ITGB5,RALB	
Protein Ubiquitination Pathway	6.02E-01	1.86E-02	NaN	PSMB9,PSME2,UBE2J1,UBE2L6,UBE2T	
G-Protein Coupled Receptor Signaling	6.02E-01	1.6E-02	2.111	CCND1,GNA15,LTB4R,MAP3K1,MAP3K13,P2RY14,PRKAR1B,RALB,RXFP2,SHC1,STAT3	
VDR/RXR Activation	5.99E-01	2.6E-02	NaN	IGFBP5,SERPINB1	
Maturity Onset Diabetes of Young (MODY) Signaling	5.99E-01	2.6E-02	NaN	APOL6,GAPDH	
Toll-like Receptor Signaling	5.99E-01	2.6E-02	NaN	MAP3K1,MAP4K4	
NF-κB Activation by Viruses	5.9E-01	2.56E-02	NaN	MAP3K1,RALB	
Neurotrophin/TRK Signaling	5.9E-01	2.56E-02	NaN	RALB,SHC1	
Clathrin-mediated Endocytosis Signaling	5.85E-01	1.94E-02	NaN	ALB,CLU,ITGB5,S100A8	
Glutathione Redox Reactions I	5.82E-01	4.17E-02	NaN	GPX1	
Estrogen-Dependent Breast Cancer Signaling	5.75E-01	2.5E-02	NaN	CCND1,RALB	
BAG2 Signaling Pathway	5.69E-01	2.47E-02	NaN	PSMB9,PSME2	
CDP-diacylglycerol Biosynthesis I	5.67E-01	4E-02	NaN	AGPAT1	
NRF2-mediated Oxidative Stress Response	5.62E-01	1.9E-02	NaN	GSTO1,MAP3K1,RALB,SOD2	
CLEAR Signaling Pathway	5.54E-01	1.78E-02	-1.342	CTSA,RALB,RRAGD,YWHAG,YWHAH	
VEGF Family Ligand-Receptor Interactions	5.47E-01	2.38E-02	NaN	RALB,SHC1	
Endocannabinoid Neuronal Synapse Pathway	5.45E-01	2.03E-02	NaN	GNA15,GRIN3A,PRKAR1B	
Glutathione-mediated Detoxification	5.39E-01	3.7E-02	NaN	GSTO1	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	5.39E-01	3.7E-02	NaN	AGPAT1	
Dilated Cardiomyopathy Signaling Pathway	5.36E-01	2E-02	NaN	ILK,PRKAR1B,UTRN	
FGF Signaling	5.32E-01	2.33E-02	NaN	MAP3K1,STAT3	
Apelin Adipocyte Signaling Pathway	5.32E-01	2.33E-02	NaN	GPX1,PRKAR1B	
Ethanol Degradation II	5.26E-01	3.57E-02	NaN	DHRS9	
Role of NFAT in Cardiac Hypertrophy	5.24E-01	1.82E-02	1.000	MAP3K1,PRKAR1B,RALB,SHC1	
T Cell Exhaustion Signaling Pathway	5.21E-01	1.66E-02	2.236	CD274,JAK2,PDCD1LG2,RALB,STAT1,STAT3	
RANK Signaling in Osteoclasts	5.19E-01	2.27E-02	NaN	MAP3K1,MAP3K13	
BMP signaling pathway	5.11E-01	2.25E-02	NaN	PRKAR1B,RALB	
Noradrenaline and Adrenaline Degradation	5E-01	3.33E-02	NaN	DHRS9	
Ceramide Signaling	4.99E-01	2.2E-02	NaN	MAP3K1,RALB	
TNFR2 Signaling	4.89E-01	3.23E-02	NaN	MAP3K1	
Sonic Hedgehog Signaling	4.89E-01	3.23E-02	NaN	PRKAR1B	
ERBB Signaling	4.87E-01	2.15E-02	NaN	RALB,SHC1	
SAPK/JNK Signaling	4.85E-01	1.66E-02	0.447	MAP3K1,MAP3K13,MAP4K4,RALB,SHC1	
cAMP-mediated signaling	4.81E-01	1.73E-02	1.000	LTB4R,P2RY14,PRKAR1B,STAT3	
Small Cell Lung Cancer Signaling	4.8E-01	2.13E-02	NaN	CCND1,E2F1	
Type I Diabetes Mellitus Signaling	4.75E-01	1.64E-02	1.342	IRF1,JAK2,SOCS3,SOCS4,STAT1	
Airway Inflammation in Asthma	4.67E-01	3.03E-02	NaN	ELANE	
Retinoate Biosynthesis I	4.67E-01	3.03E-02	NaN	DHRS9	
VEGF Signaling	4.63E-01	2.06E-02	NaN	RALB,SHC1	
Neuropathic Pain Signaling In Dorsal Horn Neurons	4.46E-01	2E-02	NaN	GRIN3A,PRKAR1B	
WNT/β-catenin Signaling	4.4E-01	1.75E-02	NaN	CCND1,ILK,KREMEN1	
Sumoylation Pathway	4.4E-01	1.98E-02	NaN	ETS1,ZEB1	
p70S6K Signaling	4.29E-01	1.57E-02	NaN	IGHV3-53,RALB,SHC1,YWHAG,YWHAH	
Pulmonary Fibrosis Idiopathic Signaling Pathway	4.2E-01	1.55E-02	1.342	CCND1,ILK,JAK2,RALB,STAT3	
tRNA Charging	4.18E-01	2.63E-02	NaN	WARS1	
Inhibition of Matrix Metalloproteases	4.18E-01	2.63E-02	NaN	TIMP1	
Antigen Presentation Pathway	4.18E-01	2.63E-02	NaN	PSMB9	
Oxidative Phosphorylation	4.15E-01	1.89E-02	NaN	COX6B2,VPS9D1	
Tight Junction Signaling	4.12E-01	1.69E-02	NaN	PRKAR1B,SPTAN1,TJP2	
Mechanisms of Viral Exit from Host Cells	3.93E-01	2.44E-02	NaN	LMNB1	
April Mediated Signaling	3.85E-01	2.38E-02	NaN	MAP3K1	
Retinol Biosynthesis	3.85E-01	2.38E-02	NaN	DHRS9	
BER (Base Excision Repair) Pathway	3.7E-01	2.27E-02	NaN	E2F1	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	3.69E-01	1.58E-02	NaN	IGFBP5,STAT1,TIMP1	
Virus Entry via Endocytic Pathways	3.64E-01	1.71E-02	NaN	ITGB5,RALB	
Cholecystokinin/Gastrin-mediated Signaling	3.64E-01	1.71E-02	NaN	RALB,SHC1	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	3.64E-01	1.71E-02	NaN	GNA15,PRKAR1B	
Apelin Pancreas Signaling Pathway	3.63E-01	2.22E-02	NaN	PRKAR1B	
Oxytocin In Brain Signaling Pathway	3.56E-01	1.55E-02	NaN	CASP1,CASP5,RALB	
Xenobiotic Metabolism Signaling	3.51E-01	1.47E-02	NaN	GSTO1,MAP3K1,MAP3K13,RALB	
Human Embryonic Stem Cell Pluripotency	3.46E-01	1.52E-02	NaN	JAK2,RALB,STAT3	
Opioid Signaling Pathway	3.43E-01	1.45E-02	NaN	GNA15,GRIN3A,PRKAR1B,RALB	
Apelin Muscle Signaling Pathway	3.42E-01	2.08E-02	NaN	GNA15	
GP6 Signaling Pathway	3.39E-01	1.63E-02	NaN	FYB1,ITGA2B	
Gustation Pathway	3.37E-01	1.5E-02	NaN	ORAI2,P2RY14,PRKAR1B	
Gαs Signaling	3.34E-01	1.61E-02	NaN	GNA15,PRKAR1B	
Systemic Lupus Erythematosus Signaling	3.33E-01	1.35E-02	NaN	FCGR1A,FCGR1BP,FCGR3A/FCGR3B,IGHV3-53,RALB,RNU1-27P,RNU1-28P,TNFSF13B	
FAK Signaling	3.32E-01	1.33E-02	0.905	CAPN1,CCND1,ETS1,ITGA2B,ITGB5,LTB4R,P2RY14,RALB,RXFP2,SOCS3,SOCS4	
FXR/RXR Activation	3.31E-01	1.6E-02	NaN	ALB,CLU	
MYC Mediated Apoptosis Signaling	3.29E-01	2E-02	NaN	PRKAR1B	
TNFR1 Signaling	3.29E-01	2E-02	NaN	MAP3K1	
FAT10 Cancer Signaling Pathway	3.29E-01	2E-02	NaN	STAT3	
UVC-Induced MAPK Signaling	3.23E-01	1.96E-02	NaN	RALB	
Ferroptosis Signaling Pathway	3.23E-01	1.57E-02	NaN	RALB,STAT3	
Triacylglycerol Biosynthesis	3.17E-01	1.92E-02	NaN	AGPAT1	
fMLP Signaling in Neutrophils	3.16E-01	1.55E-02	NaN	GNA15,RALB	
Phototransduction Pathway	3.12E-01	1.89E-02	NaN	PRKAR1B	
Transcriptional Regulatory Network in Embryonic Stem Cells	3.05E-01	1.85E-02	NaN	STAT3	
Gα12/13 Signaling	3.02E-01	1.5E-02	NaN	MAP3K1,RALB	
Th2 Pathway	3.02E-01	1.5E-02	NaN	JAK2,SOCS3	
Cell Cycle Control of Chromosomal Replication	2.94E-01	1.79E-02	NaN	CDK11B	
Serotonin Degradation	2.89E-01	1.75E-02	NaN	DHRS9	
Reelin Signaling in Neurons	2.85E-01	1.45E-02	NaN	CFL1,GRIN3A	
Neurovascular Coupling Signaling Pathway	2.84E-01	1.37E-02	NaN	GRIN3A,ORAI2,PRKAR1B	
MSP-RON Signaling Pathway	2.84E-01	1.72E-02	NaN	JAK2	
Cancer Drug Resistance By Drug Efflux	2.84E-01	1.72E-02	NaN	RALB	
Apelin Endothelial Signaling Pathway	2.81E-01	1.44E-02	NaN	GNA15,RALB	
Thrombin Signaling	2.81E-01	1.36E-02	NaN	GNA15,RALB,SHC1	
Superpathway of Melatonin Degradation	2.79E-01	1.69E-02	NaN	MPO	
Dendritic Cell Maturation	2.74E-01	1.3E-02	2.236	FCGR1A,FCGR1BP,FCGR3A/FCGR3B,JAK2,STAT1	
Heparan Sulfate Biosynthesis (Late Stages)	2.69E-01	1.64E-02	NaN	TNFAIP6	
Stearate Biosynthesis I (Animals)	2.64E-01	1.61E-02	NaN	ACOT7	
NAD Signaling Pathway	2.63E-01	1.38E-02	NaN	PARP14,SOD2	
PXR/RXR Activation	2.6E-01	1.59E-02	NaN	PRKAR1B	
Protein Kinase A Signaling	2.57E-01	1.27E-02	0.447	DUSP3,MAP3K1,PRKAR1B,YWHAG,YWHAH	
Mitotic Roles of Polo-Like Kinase	2.56E-01	1.56E-02	NaN	CAPN1	
Pyridoxal 5'-phosphate Salvage Pathway	2.51E-01	1.54E-02	NaN	LIMK2	
CD40 Signaling	2.47E-01	1.52E-02	NaN	STAT3	
Relaxin Signaling	2.46E-01	1.32E-02	NaN	GNA15,PRKAR1B	
Eicosanoid Signaling	2.43E-01	1.49E-02	NaN	LTB4R	
Heparan Sulfate Biosynthesis	2.39E-01	1.47E-02	NaN	TNFAIP6	
Melatonin Signaling	2.35E-01	1.45E-02	NaN	PRKAR1B	
HOTAIR Regulatory Pathway	2.25E-01	1.26E-02	NaN	IRF1,STAT3	
Antiproliferative Role of Somatostatin Receptor 2	2.16E-01	1.35E-02	NaN	RALB	
Angiopoietin Signaling	2.09E-01	1.32E-02	NaN	RALB	
Dopamine Receptor Signaling	1.99E-01	1.27E-02	NaN	PRKAR1B	
Xenobiotic Metabolism AHR Signaling Pathway	1.99E-01	1.27E-02	NaN	GSTO1	
Oxytocin Signaling Pathway	-0E00	1.09E-02	NaN	PRKAR1B,RALB,SHC1	
SNARE Signaling Pathway	-0E00	7.58E-03	NaN	PRKAR1B	
Immunogenic Cell Death Signaling Pathway	-0E00	1.19E-02	NaN	CASP1	
Leukocyte Extravasation Signaling	-0E00	5.29E-03	NaN	TIMP1	
Fc Epsilon RI Signaling	-0E00	8.47E-03	NaN	RALB	
Synaptic Long Term Depression	-0E00	1.05E-02	NaN	GNA15,RALB	
LPS/IL-1 Mediated Inhibition of RXR Function	-0E00	9.05E-03	NaN	GSTO1,MAP3K1	
Role of NFAT in Regulation of the Immune Response	-0E00	1.05E-02	2.236	FCGR1A,FCGR1BP,FCGR3A/FCGR3B,GNA15,IGHV3-53,RALB	
FcγRIIB Signaling in B Lymphocytes	-0E00	1.1E-02	NaN	IGHV3-53,RALB,SHC1	
LPS-stimulated MAPK Signaling	-0E00	1.18E-02	NaN	RALB	
CCR5 Signaling in Macrophages	-0E00	3.38E-03	NaN	GNA15	
CXCR4 Signaling	-0E00	1.2E-02	NaN	GNA15,RALB	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00	5.38E-03	NaN	FYB1,RALB	
T Helper Cell Differentiation	-0E00	7.49E-03	NaN	STAT1,STAT3	
CD28 Signaling in T Helper Cells	-0E00	3.22E-03	NaN	MAP3K1	
Cellular Effects of Sildenafil (Viagra)	-0E00	6.99E-03	NaN	PRKAR1B	
Factors Promoting Cardiogenesis in Vertebrates	-0E00	6.71E-03	NaN	CCND1	
ICOS-ICOSL Signaling in T Helper Cells	-0E00	3.32E-03	NaN	SHC1	
Corticotropin Releasing Hormone Signaling	-0E00	6.8E-03	NaN	PRKAR1B	
CREB Signaling in Neurons	-0E00	1.18E-02	2.449	GNA15,LTB4R,P2RY14,PRKAR1B,RALB,RXFP2,SHC1	
G Protein Signaling Mediated by Tubby	-0E00	1.13E-02	NaN	FYB1,GNA15,JAK2	
Communication between Innate and Adaptive Immune Cells	-0E00	4.31E-03	NaN	IGHV3-53,TNFSF13B	
Crosstalk between Dendritic Cells and Natural Killer Cells	-0E00	1.1E-02	NaN	TNFSF10	
CDC42 Signaling	-0E00	1.18E-02	NaN	CFL1,ITGA2B,ITGB5,LIMK2	
Phospholipase C Signaling	-0E00	9.26E-03	NaN	AHNAK,IGHV3-53,ITGA2B,ITGB5,RALB,SHC1	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00	6.36E-03	NaN	IGHV3-53,PRTN3,TNFSF13B	
B Cell Development	-0E00	4.52E-03	NaN	IGHV3-53	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00	7.63E-03	NaN	MAP3K1,RALB	
NUR77 Signaling in T Lymphocytes	-0E00	3.62E-03	NaN	TNFSF10	
PKCθ Signaling in T Lymphocytes	-0E00	8.5E-03	NaN	MAP3K1,MAP3K13,RALB	
Role of MAPK Signaling in the Pathogenesis of Influenza	-0E00	1.23E-02	NaN	RALB	
PI3K Signaling in B Lymphocytes	-0E00	9.23E-03	NaN	IGHV3-53,PIK3AP1,RALB	
Dopamine-DARPP32 Feedback in cAMP Signaling	-0E00	1.11E-02	NaN	GRIN3A,PRKAR1B	
eNOS Signaling	-0E00	6.76E-03	NaN	PRKAR1B	
D-myo-inositol-5-phosphate Metabolism	-0E00	5.24E-03	NaN	SOCS3	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	-0E00	5.71E-03	NaN	SOCS3	
Superpathway of Inositol Phosphate Compounds	-0E00	4.37E-03	NaN	SOCS3	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	-0E00	5.71E-03	NaN	SOCS3	
3-phosphoinositide Degradation	-0E00	5.35E-03	NaN	SOCS3	
3-phosphoinositide Biosynthesis	-0E00	4.98E-03	NaN	SOCS3	
Salvage Pathways of Pyrimidine Ribonucleotides	-0E00	1.04E-02	NaN	LIMK2	
Gαq Signaling	-0E00	6.1E-03	NaN	GNA15	
Agranulocyte Adhesion and Diapedesis	-0E00	5.18E-03	NaN	CD34	
Adipogenesis pathway	-0E00	7.3E-03	NaN	KAT6B	
Unfolded protein response	-0E00	1.12E-02	NaN	CEBPE	
Nitric Oxide Signaling in the Cardiovascular System	-0E00	8.85E-03	NaN	PRKAR1B	
Cardiac β-adrenergic Signaling	-0E00	1.13E-02	NaN	GNA15,PRKAR1B	
GABA Receptor Signaling	-0E00	7.69E-03	NaN	GNA15	
IL-4 Signaling	-0E00	5.41E-03	NaN	RALB,STAT3	
p38 MAPK Signaling	-0E00	8.33E-03	NaN	STAT1	
TGF-β Signaling	-0E00	1.04E-02	NaN	RALB	
NF-κB Signaling	-0E00	1.09E-02	0.000	MAP3K1,MAP4K4,RALB,TNFSF13B	
T Cell Receptor Signaling	-0E00	7.92E-03	NaN	FYB1,MAP3K1,RALB	
Th17 Activation Pathway	-0E00	1.07E-02	NaN	JAK2,SOCS3,STAT3	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	-0E00	1.23E-02	-1.342	CASP1,CASP4,CASP5,RALB,STAT3	
White Adipose Tissue Browning Pathway	-0E00	7.3E-03	NaN	PRKAR1B	
Xenobiotic Metabolism CAR Signaling Pathway	-0E00	5.81E-03	NaN	GSTO1	
Xenobiotic Metabolism PXR Signaling Pathway	-0E00	1.14E-02	NaN	GSTO1,PRKAR1B	
Kinetochore Metaphase Signaling Pathway	-0E00	9.35E-03	NaN	CENPT	
Calcium Signaling	-0E00	9.48E-03	NaN	GRIN3A,PRKAR1B	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	-0E00	9.09E-03	NaN	RALB	
